Order_ID,Customer_ID,Product_ID,Order_Date,Shipping_Date,Quantity,Sales,Profit,Discount,Payment_Mode,Order_Status,Rating
100001,1109,597,2026-05-11,2026-05-13,5,18887.72,3307.72,15,UPI,Delivered,4.0
100002,1616,569,2024-02-16,2024-02-21,1,4729.74,935.74,20,Card,Delivered,4.0
100003,1947,557,2025-08-05,2025-08-12,3,2043.12,465.12,10,Card,Delivered,4.0
100004,1521,579,2024-04-26,2024-05-02,4,21634.16,6958.16,5,UPI,Delivered,5.0
100005,1624,504,2025-03-02,2025-03-08,3,6660.5,1440.5,10,Card,Delivered,5.0
100006,1199,531,2025-09-30,2025-10-07,3,14470.38,2491.38,10,UPI,Returned,1.0
100007,1972,583,2024-03-21,2024-03-27,5,24859.4,4489.4,10,Card,Delivered,4.0
100008,1390,524,2024-01-06,2024-01-10,1,5603.23,1728.23,0,Card,Delivered,5.0
100009,1983,570,2026-06-08,2026-06-14,5,16689.33,-3015.67,30,Cash,Delivered,5.0
100010,1346,510,2025-01-04,2025-01-10,4,6255.76,851.76,10,UPI,Delivered,4.0
100011,1916,506,2026-04-15,2026-04-16,2,8231.12,2197.12,0,Card,Delivered,5.0
100012,1337,539,2025-03-22,2025-03-29,5,25363.0,5853.0,5,UPI,Delivered,5.0
100013,1354,587,2025-03-08,2025-03-09,1,3081.25,289.25,5,UPI,Delivered,5.0
100014,1182,520,2025-05-11,2025-05-15,1,3806.11,849.11,15,Card,Delivered,4.0
100015,1876,520,2026-05-03,2026-05-07,1,4030.0,1073.0,10,Card,Delivered,5.0
100016,1366,589,2025-03-01,2025-03-08,4,20111.81,243.81,30,Cash,Delivered,5.0
100017,1572,565,2024-02-07,2024-02-11,4,1077.02,217.02,15,Cash,Delivered,5.0
100018,1310,537,2026-04-16,2026-04-23,4,10277.94,3209.94,5,UPI,Delivered,5.0
100019,1603,583,2024-11-19,2024-11-24,1,4971.88,897.88,10,Card,Delivered,5.0
100020,1811,584,2025-05-21,2025-05-26,3,2742.01,144.01,15,UPI,Delivered,4.0
100021,1587,550,2024-07-15,2024-07-19,3,2037.6,396.6,15,Cash,Delivered,4.0
100022,1301,553,2024-12-13,2024-12-18,4,11994.66,1850.66,5,UPI,Delivered,5.0
100023,1202,573,2025-03-02,2025-03-09,3,460.96,31.96,15,Card,Delivered,5.0
100024,1580,565,2024-10-16,2024-10-22,1,221.74,6.74,30,UPI,Delivered,4.0
100025,1208,520,2025-05-18,2025-05-19,4,15224.45,3396.45,15,UPI,Delivered,4.0
100026,1923,562,2024-01-19,2024-01-22,3,16118.62,1802.62,10,Net Banking,Delivered,4.0
100027,1739,564,2025-05-30,2025-05-31,1,4617.99,1004.99,10,UPI,Delivered,5.0
100028,1704,579,2024-08-17,2024-08-21,3,15371.64,4364.64,10,Net Banking,Delivered,5.0
100029,1246,599,2025-07-24,2025-07-27,2,8073.66,-240.34,30,UPI,Delivered,5.0
100030,1760,542,2024-02-21,2024-02-25,4,3857.04,1377.04,0,Net Banking,Returned,1.0
